crop,disease,visual_description,treatment,formality
0,2,leaf spotty like leopard brown,hit em copper spray make rust spot disappear,1
0,2,corn look like got bad case freckle rusty hue,spray copper stuff watch spot vanish,1
0,2,leaf speckled like rusty confetti party went,blast em copper spray show rust bos,1
0,2,corn leaf like rusty mosaic spot,give em good dousing copper spray watch rust run away cry,1
0,2,corn leaf looking like kissed rust patchy brown,slap copper spray let get rid rust nonsense,1
0,2,corn look like got tan rusty sunshine spot everywhere,spritz em copper spray say goodbye rusty mess,1
0,2,leaf like canvas rusty paint spot place,give em good coating copper spray watch rust vanish,1
0,2,corn leaf looking like rusty patchwork quilt spot galore,splash copper spray let kick rust curb,1
0,2,corn leaf like wearing rusty polka dot pajama,spray copper goodness let send rust packing,1
0,2,corn look like playing pile rusty autumn leaf spot,give em good shower copper spray let clean rust mess,1
0,2,leaf dappled rusty brown spot like painting gone wrong,hit em copper spray let fix rusty disaster,1
0,2,corn leaf look like wearing rusty camouflage spot everywhere,spray em copper let make rust disappear,1
0,2,corn leaf like rusty treasure map spot marking way,douse em copper spray let find buried treasure beneath rust,1
0,2,leaf decked rusty brown like ready rustic themed party,spray em copper let get party started getting rid rust,1
0,2,corn leaf look like splattered rusty paint spot,give em good coating copper spray let paint rusty mess,1
0,2,leaf like canvas rusty artwork spot creating masterpiece mess,hit em copper spray let restore canvas former glory,1
0,2,corn look like dipped rusty sauce spot covering everything,splash copper spray let clean rusty mess,1
0,2,corn leaf like hit rusty snowfall spot,spray em copper let melt away rusty frost,1
0,2,leaf freckled rusty brown spot like caught case rust measles,hit em copper spray let cure rusty ailment,1
0,2,corn leaf look like attacked rusty alien spot everywhere,spray em copper let fend rusty invasion,1
0,2,leaf like dipped rusty dye spot staining everything,blast em copper spray let bleach rusty stain,1
0,2,corn leaf splotchy rusty brown like bad case rust chickenpox,spray em copper let get rid rusty rash,1
0,2,corn look like kissed rusty lip spot,give em good coating copper spray let wipe away rusty kiss,1
0,2,leaf like rusty constellation spot forming pattern,spray em copper let rewrite star rust free,1
0,2,corn leaf blotchy rusty brown like splattered rusty paintball gun,hit em copper spray let clean rusty battlefield,1
0,2,leaf like hit rusty meteor shower spot raining,spray em copper let clear away rusty debris,1
0,2,corn look like wrapped rusty blanket spot covering everything,wrap em copper spray let warm cold rusty mess,1
0,2,leaf like painted rusty brown stripe spot forming funky pattern,give em good coating copper spray let paint rusty mess,1
0,2,corn leaf mottled rusty brown like caught case rust chickenpox,hit em copper spray let get rid rusty rash,1
0,2,leaf like rusty jigsaw puzzle spot forming unique shape,spray em copper let put together rust free picture,1
0,2,corn leaf marbled rusty brown like dipped rusty dye,give em good coating copper spray let scrub away rusty patina,1
0,2,corn look like hit rusty spray paint spot everywhere,spray em copper let cover rusty graffiti,1
0,2,leaf like splashed rusty mud spot staining everything,hit em copper spray let wash away rusty mess,1
0,2,corn leaf dappled rusty brown like caught case rust chickenpox,spray em copper let get rid rusty rash,1
0,2,leaf like rusty kaleidoscope spot creating mesmerizing pattern,blast em copper spray let break rusty spell,1
0,2,corn leaf look like stained rusty tea spot,spray em copper let clean rusty spill,1
0,2,leaf like smudged rusty fingerprint spot marking scene,spray em copper let wipe away rusty evidence,1
0,2,corn leaf streaked rusty brown like brushed rusty paintbrush,hit em copper spray let paint rusty canvas,1
0,2,corn look like stamped rusty ink spot forming pattern,splash copper spray let erase rusty stamp,1
0,2,leaf like scribbled rusty crayon spot creating doodle,spray em copper let erase rusty artwork,1
0,2,leaf streaked rusty brown like dyed rusty hair dye,blast em copper spray let wash rusty color,1
0,2,corn leaf look like tangled rusty spiderwebs spot everywhere,spray em copper let sweep away rusty mess,1
0,2,leaf like trampled rusty mud spot staining everything,hit em copper spray let clean rusty mess,1
0,2,corn leaf smeared rusty brown like finger painting rust,splash copper spray let wipe away rusty masterpiece,1
0,2,corn look like zapped rusty ray gun spot covering everything,spray em copper let neutralize rusty threat,1
0,2,leaf like smudged rusty lipstick spot marking scene,spray em copper let wipe away rusty kiss,1
0,2,leaf splotched rusty brown like caught case rust chickenpox,hit em copper spray let get rid rusty rash,1
0,2,corn leaf look like splattered rusty paintball spot,give em good coating copper spray let paint rusty mess,1
0,2,leaf like scribbled rusty marker spot creating doodle,spray em copper let erase rusty artwork,1
0,2,leaf smeared rusty brown like finger painting rust,hit em copper spray let wipe away rusty masterpiece,1
0,2,leaf reddish brown pustule mess leaf,use spray stuff along trick handle common rust corn,1
0,2,leaf reddish brown pustule make leaf look bad rot,mix spray stuff deal rust corn,1
0,2,leaf reddish brown pustule pop ruin leaf,mix spray farming trick control spread rust maize field,1
0,2,leaf rust colored pustule make leaf go brown yucky,use spray farming trick together stop rust corn farming,1
0,2,leaf reddish brown pustule stain mess leaf,use mix spray farming method fight rust corn production,1
0,2,leaf rust like pustule ruin leaf,mix spray farming trick handle rust corn crop,1
0,2,leaf rust colored pustule make leaf go brown yucky,mix spray farming trick stop rust maize cultivation,1
0,2,leaf rust like pustule mess leaf,mix spray farming trick control rust corn field,1
0,2,leaf reddish brown pustule make leaf go brown yucky,use spray farming method together stop rust corn production,1
0,2,leaf rust colored pustule stain mess leaf,use mix spray farming trick fight rust maize crop,1
0,2,leaf reddish brown pustule make leaf look bad rot,use spray farming trick manage rust corn field,1
0,2,leaf rust colored pustule make leaf go brown yucky,mix spray farming trick fight rust maize cultivation,1
0,2,leaf rust hued pustule make leaf look bad rot,use spray farming trick together control spread rust corn crop,1
